id,url_id,user_id,created_at,type,is_mention
1242270597486436360,33596639,872215733635358720,2020-03-24T02:02:45.000Z,retweet,False
1242270571536269314,33596639,722793491059769344,2020-03-24T02:02:39.000Z,quote,True
1242270508877479938,33596639,1228383514841710597,2020-03-24T02:02:24.000Z,retweet,False
1242270442267668482,None,None,2020-03-24T02:02:08.000Z,None,None
1242270418557235201,33596639,58972284,2020-03-24T02:02:02.000Z,retweet,False
1242270201468551174,None,None,2020-03-24T02:01:10.000Z,None,None
1242270401717297157,None,None,2020-03-24T02:01:58.000Z,None,None
1242270350303346688,33596639,2738491026,2020-03-24T02:01:46.000Z,retweet,False
1242270311933976576,None,None,2020-03-24T02:01:37.000Z,None,None
1242270305411874816,33596639,1143596483020824577,2020-03-24T02:01:35.000Z,retweet,False
1242270267562291201,None,None,2020-03-24T02:01:26.000Z,None,None
1242270261547864065,33596639,1446627703,2020-03-24T02:01:25.000Z,retweet,False
1242270233634566147,33596639,2992849735,2020-03-24T02:01:18.000Z,retweet,False
1242270225690697728,33596639,1645946444,2020-03-24T02:01:16.000Z,retweet,False
1242270378065637377,33596639,1069700983507308544,2020-03-24T02:01:53.000Z,retweet,False
1242269891589279747,None,None,2020-03-24T01:59:57.000Z,None,None
1242271301223546880,33596639,876519909030842368,2020-03-24T02:05:33.000Z,retweet,False
1242271310694268929,33596639,1579204362,2020-03-24T02:05:35.000Z,retweet,False
1242272159193432064,None,None,2020-03-24T02:08:57.000Z,None,None
1242272126536757250,33596639,90093920,2020-03-24T02:08:49.000Z,retweet,False
1242272097432461314,33596639,17198288,2020-03-24T02:08:42.000Z,retweet,False
1242272094026596353,33596639,1888322592,2020-03-24T02:08:42.000Z,retweet,False
1242272080248410112,33596639,825875040205991936,2020-03-24T02:08:38.000Z,retweet,False
1242272070039261185,33596639,24285972,2020-03-24T02:08:36.000Z,retweet,False
1242272066516045826,33596639,908120933532975104,2020-03-24T02:08:35.000Z,retweet,False
1242272162649694208,33596639,301967972,2020-03-24T02:08:58.000Z,retweet,False
1242272052578594816,33596639,1070005872477331456,2020-03-24T02:08:32.000Z,retweet,False
1242272039450402820,33596639,2342153815,2020-03-24T02:08:29.000Z,retweet,False
1242272035683827712,33596639,733044874140868609,2020-03-24T02:08:28.000Z,retweet,False
1242272013462339585,33596639,2465418073,2020-03-24T02:08:22.000Z,quote,False
1242271985490673664,33596639,223719518,2020-03-24T02:08:16.000Z,retweet,False
1242271957208502277,33596639,37343086,2020-03-24T02:08:09.000Z,retweet,False
1242271908818759680,33596639,1931626256,2020-03-24T02:07:58.000Z,retweet,False
1242271877650878466,33596639,968986703766671362,2020-03-24T02:07:50.000Z,retweet,False
1242272044642902018,33596639,26563525,2020-03-24T02:08:30.000Z,retweet,False
1242271873603383296,33596639,1448939425,2020-03-24T02:07:49.000Z,retweet,False
1242272163731771393,33596639,26635242,2020-03-24T02:08:58.000Z,retweet,False
1242272178097106944,33596639,2196646711,2020-03-24T02:09:02.000Z,retweet,False
1242272478644371457,33596639,312340659,2020-03-24T02:10:13.000Z,retweet,False
1242272460008914944,None,None,2020-03-24T02:10:09.000Z,None,None
1242272441310691328,None,None,2020-03-24T02:10:04.000Z,None,None
1242272387019821061,33596639,1284789907,2020-03-24T02:09:52.000Z,retweet,False
1242272376454295554,33596639,129627318,2020-03-24T02:09:49.000Z,retweet,False
1242272363099586562,None,None,2020-03-24T02:09:46.000Z,None,None
1242272280396337152,None,None,2020-03-24T02:09:26.000Z,None,None
1242272177900023808,None,None,2020-03-24T02:09:02.000Z,None,None
1242272258233597954,33596639,751993238,2020-03-24T02:09:21.000Z,retweet,False
1242272234607181827,None,None,2020-03-24T02:09:15.000Z,None,None
1242272226675744769,None,None,2020-03-24T02:09:13.000Z,None,None
1242272221315371009,33596639,93093380,2020-03-24T02:09:12.000Z,retweet,False
1242272219679637504,33596639,582631422,2020-03-24T02:09:12.000Z,retweet,False
1242272207373504512,33596639,1048389397937311744,2020-03-24T02:09:09.000Z,retweet,False
1242272206186352640,33596639,58324447,2020-03-24T02:09:08.000Z,quote,False
1242272180379009025,33596639,622172309,2020-03-24T02:09:02.000Z,retweet,False
1242272251430535170,33596639,17123155,2020-03-24T02:09:19.000Z,retweet,False
1242271309737816065,33596639,607776336,2020-03-24T02:05:35.000Z,retweet,False
1242271851587477511,33596639,1068274305023336448,2020-03-24T02:07:44.000Z,retweet,False
1242271815910797314,33596639,4239434446,2020-03-24T02:07:35.000Z,retweet,False
1242271484221034497,33596639,884372312992227329,2020-03-24T02:06:16.000Z,retweet,False
1242271469872152576,33596639,954508193576595456,2020-03-24T02:06:13.000Z,retweet,False
1242271460011282432,33596639,1180968622308507648,2020-03-24T02:06:11.000Z,retweet,False
1242271450699948032,33596639,1213179653281603584,2020-03-24T02:06:08.000Z,retweet,False
1242271418223648772,33596639,22984882,2020-03-24T02:06:01.000Z,retweet,False
1242271397906272256,None,None,2020-03-24T02:05:56.000Z,None,None
1242271384199462912,33596639,384476661,2020-03-24T02:05:52.000Z,retweet,False
1242271495176564736,33596639,260535327,2020-03-24T02:06:19.000Z,retweet,False
1242271376846790658,None,None,2020-03-24T02:05:51.000Z,None,None
1242271362418225152,None,None,2020-03-24T02:05:47.000Z,None,None
1242271360572932096,33596639,774961418202415104,2020-03-24T02:05:47.000Z,retweet,False
1242271360497352704,33596639,4339881197,2020-03-24T02:05:47.000Z,retweet,False
1242271356969984000,33596639,818613652496457728,2020-03-24T02:05:46.000Z,retweet,False
1242271347591561216,33596639,3421068700,2020-03-24T02:05:44.000Z,retweet,False
1242271323050532864,None,None,2020-03-24T02:05:38.000Z,None,None
1242271314066526210,33596639,526987089,2020-03-24T02:05:36.000Z,retweet,False
1242271366918729729,33596639,3497865853,2020-03-24T02:05:48.000Z,retweet,False
1242271819161272325,33596639,1247716614,2020-03-24T02:07:36.000Z,retweet,False
1242271498716545024,None,None,2020-03-24T02:06:20.000Z,None,None
1242271521164361729,33596639,1108719898191122432,2020-03-24T02:06:25.000Z,retweet,False
1242271815910797313,33596639,1253289434,2020-03-24T02:07:35.000Z,retweet,False
1242271775880286208,33596639,1012536268364959746,2020-03-24T02:07:26.000Z,retweet,False
1242271758218076161,33596639,3222669549,2020-03-24T02:07:22.000Z,retweet,False
1242271686155788293,33596639,2277466901,2020-03-24T02:07:04.000Z,retweet,False
1242271663170949120,33596639,2983095069,2020-03-24T02:06:59.000Z,retweet,False
1242271654664908800,33596639,1592453774,2020-03-24T02:06:57.000Z,retweet,False
1242271653360537600,None,None,2020-03-24T02:06:57.000Z,None,None
1242271518891094017,33596639,1027977825008201728,2020-03-24T02:06:25.000Z,retweet,False
1242271647471554560,33596639,780537777335078912,2020-03-24T02:06:55.000Z,retweet,False
1242271617897705473,33596639,531925394,2020-03-24T02:06:48.000Z,retweet,False
1242271614093471744,33596639,4810875497,2020-03-24T02:06:47.000Z,retweet,False
1242271609404227584,33596639,26883100,2020-03-24T02:06:46.000Z,retweet,False
1242271601762189314,33596639,938225311287824385,2020-03-24T02:06:44.000Z,retweet,False
1242271537014718464,33596639,3091032342,2020-03-24T02:06:29.000Z,retweet,False
1242271532883337218,None,None,2020-03-24T02:06:28.000Z,None,None
1242271521805963264,None,None,2020-03-24T02:06:25.000Z,None,None
1242271631986196481,33596639,369292654,2020-03-24T02:06:52.000Z,retweet,False
1242269874300137472,33596639,804479657374425088,2020-03-24T01:59:52.000Z,retweet,False
1242269859523596289,33596639,831234143820279808,2020-03-24T01:59:49.000Z,retweet,False
1242269834714296320,33596639,750868372733198336,2020-03-24T01:59:43.000Z,quote,False
1242265562283196417,33596639,885563592,2020-03-24T01:42:44.000Z,retweet,False
1242265534747508737,None,None,2020-03-24T01:42:38.000Z,None,None
1242265528208633859,None,None,2020-03-24T01:42:36.000Z,None,None
1242265527193612288,33596639,559972152,2020-03-24T01:42:36.000Z,retweet,False
1242265520113680384,None,None,2020-03-24T01:42:34.000Z,None,None
1242265419915853827,33596639,583963378,2020-03-24T01:42:10.000Z,retweet,False
1242265387753811971,33596639,499707239,2020-03-24T01:42:03.000Z,retweet,False
1242265614309306369,33596639,2282583837,2020-03-24T01:42:57.000Z,retweet,False
1242265386713632768,33596639,859014553,2020-03-24T01:42:03.000Z,retweet,False
1242265230341791744,33596639,918972356164505600,2020-03-24T01:41:25.000Z,retweet,False
1242265205113081856,33596639,1151959037732425729,2020-03-24T01:41:19.000Z,quote,True
1242265148682842112,None,None,2020-03-24T01:41:06.000Z,None,None
1242265093238210561,33596639,35298962,2020-03-24T01:40:53.000Z,retweet,False
1242265092802166784,33596639,2490520830,2020-03-24T01:40:52.000Z,retweet,False
1242265059855945728,33596639,1034492316378169350,2020-03-24T01:40:45.000Z,retweet,False
1242265026653614080,33596639,558215877,2020-03-24T01:40:37.000Z,retweet,False
1242265347476074497,33596639,811936350970806273,2020-03-24T01:41:53.000Z,retweet,False
1242265000070316032,33596639,140283277,2020-03-24T01:40:30.000Z,retweet,False
1242265662820454401,33596639,33340801,2020-03-24T01:43:08.000Z,retweet,False
1242265771826229248,33596639,1161343472445427713,2020-03-24T01:43:34.000Z,retweet,False
1242266274287063041,33596639,895109172269899776,2020-03-24T01:45:34.000Z,retweet,False
1242266215571218432,None,None,2020-03-24T01:45:20.000Z,None,None
1242266184948436992,None,None,2020-03-24T01:45:13.000Z,None,None
1242266160244109318,33596639,974836830318325761,2020-03-24T01:45:07.000Z,retweet,False
1242266127670996992,None,None,2020-03-24T01:44:59.000Z,None,None
1242266084293648386,33596639,305312541,2020-03-24T01:44:49.000Z,retweet,False
